journal_nlm_id	scopus_id
0151000	20412
01510020R	12094
0151054	73821
0151115	15840
0151424	35898
0151434	16534
0151504	24007
0151571	5000153805
0151576	95998
0151620	14323
0151745	66522
0151747	72076
0151753	21012
0151757	65267
0151766	19400158403
0152016	21194
0152106	71485
0152744	94797
0153034	20513
0153125	19700180760
0153217	37614
0153257	38272
0153272	86568
0153605	23855
0153611	19324
0153706	21101038501
0154402	15314
0154411	87429
0154510	36754
0154572	27371
0154627	60402
0154720	17025
0154720	99256
0154722	17025
0154722	99256
0155112	26192
0155157	17481
0156373	21100228945
0157312	22609
0157313	22657
0157375	15846
0161067	93815
0162114	77998
0162115	87309
0162324	55246
0163114	14511
0163161	31466
0163356	27735
0164074	14539
0165035	23948
0165053	18300
0165250	26638
0165253	19600162033
0165261	34931
0165540	19400158113
0165543	20229
0165700	98654
0166060	59713
0166161	17700155012
0166245	25083
0166506	19600165600
0167652	63809
0170720	73255
0171206	6200180199
0171440	9500153925
0171527	19400158418
0171545	39194
0171671	14699
0171675	15450
0171744	26569
0172512	26701
0173166	39968
0173225	24023
0173320	17777
0173320	72540
0173343	27630
0173401	65702
0173426	75690
0173555	19037
0173721	19756
0174072	40542
0174107	34152
0174752	21131
0174763	15382
0175317	34123
0175411	16973
0176400	23694
0176472	18381
0177346	15594
0177625	17858
0177667	26597
0177722	26119
01920610R	19276
0200114	12789
0200355	98344
0200443	39106
0200445	12796
0200525	22262
0200547	22849
0200570	30911
0200600	101417
0200722	37485
0201010	22239
0201543	83385
0202051	89268
0202216	54691
0202364	92567
0202503	29662
0202673	110140
0203241	38055
0203246	97917
0203526	28571
0203704	26960
0203706	22441
0203727	12001
0204003	69504
0204031	20851
0204056	17644
0204167	62093
0204271	18367
0204315	21838
0204370	68588
0204446	13215
0204522	20919
0204522	21100874151
0204522	21100874152
0204522	21100874153
0204522	21100874154
0204543	99598
0204634	15991
0204750	58926
0205024	99316
0205044	9500153938
0205535	35917
0205544	90215
0205621	19023
0205742	4500151527
0206433	21554
0206462	65277
0206650	27165
0206765	79556
0207224	13703
0207227	18506
0207257	20281
0207277	22415
0207705	23735
0210120	13358
0210174	27521
0210453	19016
0210575	20255
0211167	39166
0211301	18569
0211526	34782
0211607	53664
0211630	66358
0212044	30593
0212271	14131
0212342	19371
0212414	37838
0212457	34836
0212503	88962
0212627	22741
0213155	21537
0213264	14308
0213316	101223
0213341	33118
0213640	23463
0214055	22560
0214141	19400157971
0214274	25389
0214330	29661
0214725	101290
0214745	19057
0215145	19141
0215166	28308
0215224	18099
0215333	23066
0215633	21100778825
0215645	20127
0216065	14402
0216147	69333
0216416	23078
0216424	93696
0216507	21243
0216540	69788
0216650	19740
0216665	23145
0216750	73815
0217007	96394
0217132	15410
0217410	17230
0217440	24458
0217457	22037
0217641	21100874208
0217764	26133
0220042	38349
0221122	68922
0221123	93900
0221217	16419
0221656	18247
0222052	65763
0222526	15388
0222527	15613
0222643	21725
0224131	20233
0224156	40309
0225165	94581
0225346	13963
0225602	27252
0225652	92094
0226040	29801
0226072	37408
0226630	38248
0226633	24975
0226661	13422
0226703	26365
0227276	24652
0227500	32792
0227625	57558
0227717	39973
0227721	9600153300
0230027	17785
0230326	20826
0231335	18429
0231342	97258
0231601	36989
0231714	24004
0231737	13768
0232053	31636
0232054	70918
0232761	36143
0233223	19033
0233332	68255
0233411	15196
0233416	12809
0233767	24168
0234014	16926
0234022	42008
0234024	22810
0234122	19400157817
0234135	17112
0234361	24613
0234640	15073
0235066	13438
0235077	92177
0235232	11000153715
0235266	20618
0235375	4700152410
0235440	68066
0235532	54094
0235616	94665
0235700	24870
0236000	39806
0236073	95806
0236217	20435
0236354	34019
0236454	14878
0236512	30014
