scopus_id	top_level_subject
12883	Physical Sciences
12886	Physical Sciences
12886	Social Sciences
12887	Social Sciences
12888	Physical Sciences
12889	Physical Sciences
12891	Physical Sciences
12891	Social Sciences
12892	Social Sciences
12893	Physical Sciences
12894	Physical Sciences
12897	Physical Sciences
12899	Physical Sciences
12900	Physical Sciences
12901	Physical Sciences
12902	Physical Sciences
12907	Social Sciences
12909	Physical Sciences
12909	Social Sciences
12911	Health Sciences
12913	Physical Sciences
12914	Physical Sciences
12915	Physical Sciences
12915	Social Sciences
12916	Physical Sciences
12917	Physical Sciences
12918	Physical Sciences
12919	Physical Sciences
12921	Physical Sciences
12922	Physical Sciences
12924	Health Sciences
12927	Health Sciences
12928	Physical Sciences
12929	Physical Sciences
12930	Health Sciences
12931	Physical Sciences
12932	Health Sciences
12933	Physical Sciences
12934	Physical Sciences
12935	Physical Sciences
12936	Physical Sciences
12937	Health Sciences
12938	Physical Sciences
12939	Physical Sciences
12940	Physical Sciences
12941	Physical Sciences
12942	Physical Sciences
12943	Physical Sciences
12944	Physical Sciences
12946	Physical Sciences
12947	Physical Sciences
12948	Health Sciences
12949	Health Sciences
12950	Health Sciences
12952	Physical Sciences
12954	Health Sciences
12955	Physical Sciences
12957	Physical Sciences
12958	Physical Sciences
12959	Physical Sciences
12960	Physical Sciences
12960	Social Sciences
12961	Physical Sciences
12962	Physical Sciences
12963	Social Sciences
12964	Social Sciences
12965	Physical Sciences
12966	Physical Sciences
12968	Physical Sciences
12969	Physical Sciences
12970	Physical Sciences
12971	Physical Sciences
12974	Social Sciences
12975	Social Sciences
12978	Health Sciences
12979	Health Sciences
12981	Physical Sciences
12982	Health Sciences
12984	Physical Sciences
12985	Health Sciences
12986	Physical Sciences
12987	Physical Sciences
12989	Health Sciences
12990	Health Sciences
12991	Physical Sciences
12991	Social Sciences
12993	Physical Sciences
12995	Physical Sciences
12995	Social Sciences
12996	Physical Sciences
12997	Physical Sciences
12998	Physical Sciences
12999	Social Sciences
13000	Physical Sciences
13002	Physical Sciences
13003	Health Sciences
13004	Health Sciences
13005	Physical Sciences
13006	Health Sciences
13007	Health Sciences
13008	Health Sciences
13009	Health Sciences
13010	Health Sciences
13011	Health Sciences
13012	Physical Sciences
13014	Health Sciences
13014	Social Sciences
13017	Physical Sciences
13018	Physical Sciences
13019	Physical Sciences
13020	Social Sciences
13021	Health Sciences
13022	Health Sciences
13023	Health Sciences
13024	Physical Sciences
13026	Physical Sciences
13027	Physical Sciences
13028	Health Sciences
13029	Physical Sciences
13030	Physical Sciences
13034	Physical Sciences
13035	Health Sciences
13037	Health Sciences
13037	Physical Sciences
13038	Health Sciences
13039	Physical Sciences
13040	Physical Sciences
13044	Physical Sciences
13047	Health Sciences
13049	Health Sciences
13051	Health Sciences
13052	Physical Sciences
13053	Health Sciences
13054	Physical Sciences
13055	Physical Sciences
13056	Physical Sciences
13057	Physical Sciences
13058	Physical Sciences
13059	Physical Sciences
13061	Physical Sciences
13062	Health Sciences
13064	Health Sciences
13065	Health Sciences
13067	Health Sciences
13068	Health Sciences
13069	Health Sciences
13069	Social Sciences
13070	Health Sciences
13072	Health Sciences
13073	Health Sciences
13075	Health Sciences
13077	Health Sciences
13079	Physical Sciences
13082	Physical Sciences
13087	Physical Sciences
13088	Physical Sciences
13088	Social Sciences
13089	Physical Sciences
13090	Physical Sciences
13094	Physical Sciences
13097	Physical Sciences
13097	Social Sciences
13098	Physical Sciences
13098	Social Sciences
13100	Health Sciences
13101	Physical Sciences
13102	Physical Sciences
13102	Social Sciences
13104	Physical Sciences
13104	Social Sciences
13106	Physical Sciences
13107	Social Sciences
13109	Health Sciences
13110	Health Sciences
13112	Physical Sciences
13113	Physical Sciences
13115	Physical Sciences
13118	Health Sciences
13120	Health Sciences
13121	Health Sciences
13122	Health Sciences
13123	Health Sciences
13124	Health Sciences
13124	Social Sciences
13126	Health Sciences
13129	Health Sciences
13130	Physical Sciences
13130	Social Sciences
13131	Social Sciences
13134	Health Sciences
13135	Health Sciences
13137	Health Sciences
13137	Physical Sciences
13138	Social Sciences
13139	Health Sciences
13140	Health Sciences
13142	Social Sciences
13143	Social Sciences
13145	Health Sciences
13146	Health Sciences
13147	Health Sciences
13148	Health Sciences
13149	Health Sciences
13150	Health Sciences
13152	Health Sciences
13153	Health Sciences
13154	Physical Sciences
13155	Health Sciences
13156	Physical Sciences
13156	Social Sciences
13157	Health Sciences
13158	Health Sciences
13159	Social Sciences
13160	Social Sciences
13161	Physical Sciences
13161	Social Sciences
13162	Physical Sciences
13162	Social Sciences
13163	Health Sciences
13164	Social Sciences
13165	Health Sciences
13168	Social Sciences
13171	Health Sciences
13173	Health Sciences
13175	Health Sciences
13176	Social Sciences
13177	Health Sciences
13178	Physical Sciences
13180	Health Sciences
13182	Physical Sciences
13183	Physical Sciences
13184	Physical Sciences
13185	Physical Sciences
13187	Health Sciences
13187	Social Sciences
13188	Physical Sciences
13189	Physical Sciences
13191	Physical Sciences
13192	Health Sciences
13192	Physical Sciences
13193	Health Sciences
13194	Social Sciences
13195	Physical Sciences
13196	Physical Sciences
13197	Social Sciences
13198	Health Sciences
13200	Physical Sciences
13201	Social Sciences
13202	Health Sciences
13203	Social Sciences
13205	Health Sciences
13206	Health Sciences
13207	Health Sciences
13208	Social Sciences
13209	Health Sciences
13210	Health Sciences
13212	Health Sciences
13213	Health Sciences
13214	Health Sciences
13215	Health Sciences
13216	Physical Sciences
13217	Health Sciences
13217	Social Sciences
13218	Physical Sciences
13219	Physical Sciences
13220	Health Sciences
13220	Social Sciences
13221	Health Sciences
13222	Health Sciences
13223	Health Sciences
13224	Physical Sciences
13225	Physical Sciences
13227	Physical Sciences
13227	Social Sciences
13228	Physical Sciences
13229	Health Sciences
13230	Health Sciences
13231	Health Sciences
13234	Health Sciences
13235	Health Sciences
13236	Physical Sciences
13236	Social Sciences
13241	Health Sciences
13242	Health Sciences
13243	Social Sciences
13244	Health Sciences
13247	Health Sciences
13248	Health Sciences
13249	Physical Sciences
13251	Physical Sciences
13254	Physical Sciences
13257	Physical Sciences
13258	Health Sciences
13259	Health Sciences
13260	Health Sciences
13261	Physical Sciences
13264	Health Sciences
13265	Health Sciences
13266	Health Sciences
13268	Social Sciences
13270	Health Sciences
13271	Physical Sciences
13272	Physical Sciences
13272	Social Sciences
13273	Physical Sciences
13273	Social Sciences
13274	Physical Sciences
13274	Social Sciences
13277	Health Sciences
13277	Social Sciences
13278	Physical Sciences
13278	Social Sciences
13279	Social Sciences
13281	Health Sciences
13282	Physical Sciences
13283	Health Sciences
13284	Health Sciences
13286	Health Sciences
13289	Health Sciences
13292	Social Sciences
13293	Health Sciences
13294	Social Sciences
13295	Health Sciences
13296	Health Sciences
13298	Health Sciences
13300	Physical Sciences
13301	Physical Sciences
13302	Health Sciences
13303	Health Sciences
13307	Health Sciences
13308	Health Sciences
13309	Physical Sciences
13310	Health Sciences
13312	Social Sciences
13316	Social Sciences
13318	Health Sciences
13318	Social Sciences
13320	Physical Sciences
13321	Physical Sciences
13323	Health Sciences
13326	Physical Sciences
13328	Health Sciences
13329	Social Sciences
13331	Health Sciences
13332	Physical Sciences
13333	Physical Sciences
13334	Physical Sciences
13336	Physical Sciences
13337	Physical Sciences
13338	Health Sciences
13338	Social Sciences
13339	Social Sciences
13341	Health Sciences
13342	Health Sciences
13343	Health Sciences
13344	Social Sciences
13345	Health Sciences
13348	Health Sciences
13349	Physical Sciences
13350	Physical Sciences
13351	Social Sciences
13352	Physical Sciences
13353	Physical Sciences
13354	Social Sciences
13355	Social Sciences
13356	Health Sciences
13357	Social Sciences
13358	Social Sciences
13359	Social Sciences
13360	Social Sciences
13361	Health Sciences
13362	Health Sciences
13363	Health Sciences
13365	Physical Sciences
13366	Physical Sciences
13367	Physical Sciences
13368	Physical Sciences
13369	Physical Sciences
13371	Health Sciences
13371	Social Sciences
13372	Physical Sciences
13372	Social Sciences
13373	Physical Sciences
13373	Social Sciences
13374	Health Sciences
13374	Physical Sciences
13375	Physical Sciences
13375	Social Sciences
13377	Health Sciences
13378	Social Sciences
13380	Health Sciences
13381	Health Sciences
13382	Health Sciences
13382	Social Sciences
13383	Health Sciences
13384	Health Sciences
13384	Social Sciences
13385	Social Sciences
13390	Health Sciences
13391	Health Sciences
13392	Health Sciences
13393	Health Sciences
13394	Physical Sciences
13395	Health Sciences
13396	Health Sciences
13397	Health Sciences
13398	Health Sciences
13398	Social Sciences
13399	Social Sciences
13401	Social Sciences
13405	Health Sciences
13406	Health Sciences
13407	Health Sciences
13408	Health Sciences
13409	Health Sciences
13410	Social Sciences
13411	Social Sciences
13412	Social Sciences
13413	Social Sciences
13414	Social Sciences
13415	Health Sciences
13415	Social Sciences
13418	Social Sciences
13419	Social Sciences
13420	Social Sciences
13421	Health Sciences
13421	Social Sciences
13422	Health Sciences
13422	Social Sciences
13423	Social Sciences
13424	Social Sciences
13427	Physical Sciences
13429	Health Sciences
13430	Physical Sciences
13431	Health Sciences
13432	Physical Sciences
13433	Health Sciences
13435	Social Sciences
13437	Social Sciences
13438	Social Sciences
13439	Health Sciences
13441	Social Sciences
13442	Health Sciences
13442	Social Sciences
13443	Social Sciences
13444	Physical Sciences
13445	Physical Sciences
13447	Social Sciences
13448	Social Sciences
13449	Health Sciences
13450	Health Sciences
13450	Social Sciences
13452	Social Sciences
13453	Social Sciences
13454	Health Sciences
13455	Social Sciences
13456	Social Sciences
13457	Social Sciences
13460	Social Sciences
13461	Social Sciences
13464	Social Sciences
13465	Social Sciences
13466	Social Sciences
13467	Social Sciences
13468	Social Sciences
13469	Physical Sciences
13470	Physical Sciences
13471	Physical Sciences
13472	Health Sciences
13473	Health Sciences
13474	Social Sciences
13475	Social Sciences
13476	Social Sciences
13477	Social Sciences
13478	Social Sciences
13479	Social Sciences
13480	Social Sciences
13481	Physical Sciences
13482	Physical Sciences
13484	Social Sciences
13486	Social Sciences
13487	Health Sciences
13487	Social Sciences
13488	Social Sciences
13490	Social Sciences
13491	Health Sciences
13491	Social Sciences
13493	Health Sciences
13496	Health Sciences
13497	Social Sciences
13498	Social Sciences
13499	Social Sciences
13500	Social Sciences
13502	Health Sciences
13502	Social Sciences
13503	Social Sciences
13504	Social Sciences
13505	Social Sciences
13506	Physical Sciences
13507	Physical Sciences
13511	Physical Sciences
13512	Physical Sciences
13516	Physical Sciences
13517	Health Sciences
13517	Physical Sciences
13518	Social Sciences
13519	Social Sciences
13520	Health Sciences
13520	Social Sciences
13521	Health Sciences
13521	Physical Sciences
13523	Social Sciences
13524	Social Sciences
13525	Social Sciences
13526	Health Sciences
13527	Health Sciences
13529	Physical Sciences
13530	Physical Sciences
13530	Social Sciences
13531	Physical Sciences
13531	Social Sciences
13532	Physical Sciences
13533	Physical Sciences
13533	Social Sciences
13534	Physical Sciences
13536	Physical Sciences
13536	Social Sciences
13537	Physical Sciences
13538	Physical Sciences
13540	Physical Sciences
13541	Social Sciences
13542	Social Sciences
13543	Health Sciences
13544	Health Sciences
13545	Health Sciences
13545	Social Sciences
13546	Health Sciences
13547	Health Sciences
13547	Social Sciences
13548	Physical Sciences
13549	Physical Sciences
13550	Physical Sciences
13551	Physical Sciences
13552	Physical Sciences
13554	Physical Sciences
13556	Physical Sciences
13556	Social Sciences
13557	Physical Sciences
13558	Physical Sciences
13559	Physical Sciences
13559	Social Sciences
