main_publisher_slug	n_journals	main_publisher	name_variants
aletheia-associacao-cientifica-e-cultural	1	Aletheia - Associacao Cientifica e Cultural	1
aletheia-university	2	Aletheia University	1
alexander-graham-bell-association-for-the-deaf-and-hard-of-hearing	1	Alexander Graham Bell Association for the Deaf and Hard of Hearing	1
alexander-von-humboldt-institute-for-internet-and-society	1	Alexander von Humboldt Institute for Internet and Society	1
alexandria-university	1	Alexandria University	1
alexandrine-press	1	Alexandrine Press	1
alexandru-ioan-cuza-university-of-iasi	6	Alexandru Ioan Cuza University of Iasi	2
alfred-huethig-verlag	1	Alfred Huethig Verlag	1
alfred-university	1	Alfred University	1
algemene-pharmaceutische-bond	2	Algemene Pharmaceutische Bond	1
alianza-editorial	1	Alianza Editorial	1
alies	1	ALIES	1
all-india-dental-association	1	All India Dental Association	1
all-india-institute-of-medical-sciences	2	All India Institute of Medical Sciences	1
all-india-ophthalmological-society	1	All India Ophthalmological Society	1
all-russian-public-organization-antihypertensive-league	1	All-Russian Public Organization Antihypertensive League	1
allahabad-mathematical-society	1	Allahabad Mathematical Society	1
allegheny-college	1	Allegheny College	1
allen-press	15	Allen Press	1
allens-clerkenwell	1	Allens Clerkenwell	1
allergy-society-of-south-africa	1	Allergy Society of South Africa	1
allgemeine-geschichtforschende-gesellschaft-der-schweiz	1	Allgemeine Geschichtforschende Gesellschaft der Schweiz	1
alliance-communications-group	2	Alliance Communications Group	1
alliance-of-community-health-plans	1	Alliance of Community Health Plans	1
alliance-of-diamond-open-access-journals	2	Alliance of Diamond Open Access Journals	1
alliance-of-digital-humanities-organisations	1	Alliance of Digital Humanities Organisations	1
allied-business-academies	15	Allied Business Academies	1
allinsegna-del-giglio	1	All'Insegna del Giglio	1
alma-mater-studiorum-bologna	2	Alma Mater Studiorum (Bologna)	1
almgvist-wiksells	9	Almgvist & Wiksells	1
almindelige-danske-laegeforening	2	Almindelige Danske Laegeforening	1
almqvist-and-wiksell-periodical-co	1	Almqvist and Wiksell Periodical Co.	1
alpe-editores	8	Alpe Editores	1
alpha-omega-alpha-honor-medical-society	1	Alpha Omega Alpha Honor Medical Society	1
alpha-publishers	1	Alpha Publishers	1
alphamed-press-inc	2	AlphaMed Press Inc	1
altai-state-university	3	Altai State University	1
alternative-medicine-com	1	Alternative Medicine.com	1
alternative-sources-of-energy-inc	1	Alternative Sources of Energy, Inc	1
alumnae-of-the-massachusetts-institute-of-technology	1	Alumnae of the Massachusetts Institute of Technology	1
amacom	2	Amacom	1
ambit-media-a-s	1	Ambit Media a.s.	1
ame-publishing-company	17	AME Publishing Company	1
america-press-inc	1	America Press Inc.	1
american-academy-of-applied-nutrition	1	American Academy of Applied Nutrition	1
american-academy-of-clinical-neurophysiology	1	American Academy of Clinical Neurophysiology	1
american-academy-of-dental-medicine	1	American Academy Of Dental Medicine	1
american-academy-of-family-physicians	3	American Academy of Family Physicians	1
american-academy-of-general-practice	1	American Academy of General Practice	1
american-academy-of-gnathologic-orthopedics	1	American Academy of Gnathologic Orthopedics	1
american-academy-of-insurance-medicine	1	American Academy of Insurance Medicine	1
american-academy-of-medical-administrators	2	American Academy of Medical Administrators	1
american-academy-of-neurological-orthopaedic-surgeons	2	American Academy of Neurological & Orthopaedic Surgeons	1
american-academy-of-nurse-practitioners	1	American Academy of Nurse Practitioners	1
american-academy-of-ophthalmology-and-otolaryngology	1	American Academy of Ophthalmology and Otolaryngology	1
american-academy-of-oral-medicine	1	American Academy of Oral Medicine	1
american-academy-of-orthopaedic-surgeons	1	American Academy of Orthopaedic Surgeons	1
american-academy-of-osteopathy	1	American Academy Of Osteopathy	1
american-academy-of-otolaryngology	1	American Academy of Otolaryngology	1
american-academy-of-pain-management	1	American Academy of Pain Management	1
american-academy-of-pediatric-dentistry	2	American Academy of Pediatric Dentistry	1
american-academy-of-pediatrics	5	American Academy of Pediatrics	1
american-academy-of-periodontology	1	American Academy of Periodontology	1
american-academy-of-psychiatry-and-the-law	2	American Academy of Psychiatry and the Law	1
american-academy-of-the-history-of-dentistry	2	American Academy of the History of Dentistry	1
american-accounting-association	14	American Accounting Association	1
american-alcohol-and-drug-information-foundation-lansing	1	American Alcohol and Drug Information Foundation (Lansing)	1
american-alliance-for-health-physical-education-recreation-and-dance-etc	2	American Alliance For Health, Physical Education, Recreation, And Dance Etc	1
american-animal-hospital-association	1	American Animal Hospital Association	1
american-anthropological-association	3	American Anthropological Association	1
american-arachnological-society	1	American Arachnological Society	1
american-art-therapy-association-inc	1	American Art Therapy Association, Inc.	1
american-association-for-artificial-intelligence-aaai-press	2	American Association for Artificial Intelligence (AAAI) Press	1
american-association-for-cancer-research	9	American Association for Cancer Research	1
american-association-for-cancer-research-inc	2	American Association for Cancer Research Inc.	1
american-association-for-clinical-chemistry-inc	1	American Association for Clinical Chemistry, Inc.	1
american-association-for-health-physical-education-and-recreation	1	American Association For Health, Physical Education And Recreation	1
american-association-for-history-and-computing	1	American Association for History and Computing	1
american-association-for-laboratory-animal-science	5	American Association for Laboratory Animal Science	1
american-association-for-physician-leadership	1	American Association for Physician Leadership	1
american-association-for-respiratory-care	1	American Association for Respiratory Care	1
american-association-for-the-advancement-of-science	10	American Association for the Advancement of Science	1
american-association-for-the-history-of-nursing	1	American Association For The History Of Nursing	1
american-association-of-avian-pathologists-inc	1	American Association of Avian Pathologists Inc.	1
american-association-of-cereal-chemists-inc	1	American Association of Cereal Chemists, Inc.	1
