scopus_id	issn_type	issn	linking_issn
12552	print	0890-9091	0890-9091
12554	electronic	1423-0232	0030-2414
12554	print	0030-2414	0030-2414
12555	print	1027-779X	1027-779X
12556	print	1018-4287	1018-4287
12558	print	0887-1493	0887-1493
12559	electronic	1421-9727	0006-3126
12559	print	0006-3126	0006-3126
12560	electronic	1523-536X	0730-7659
12560	print	0730-7659	0730-7659
12561	print	0009-4609	0009-4609
12563	print	0002-371X	0002-371X
12566	print	0556-6630	0556-6630
12567	print	1011-484X	1011-484X
12568	print	1021-335X	1021-335X
12569	print	0378-8482	0378-8482
12570	print	1377-2368	1377-2368
12571	electronic	1572-9591	0164-0313
12571	print	0164-0313	0164-0313
12572	print	0893-6188	0893-6188
12573	print	0740-9710	0740-9710
12574	electronic	1361-6498	0952-4746
12574	print	0952-4746	0952-4746
12575	print	0379-5721	0379-5721
12576	print	1011-288X	1011-288X
12577	print	0919-1038	0919-1038
12578	print	1624-5687	1624-5687
12579	print	0917-639X	0917-639X
12581	print	0368-9638	0368-9638
12582	print	0932-3902	0932-3902
12584	electronic	1097-9883	0360-2532
12584	print	0360-2532	0360-2532
12585	print	1000-8152	1000-8152
12588	print	0890-3255	0890-3255
12590	print	0065-6755	0065-6755
12591	print	0042-4307	0042-4307
12593	print	0965-0407	0965-0407
12595	print	0960-9776	0960-9776
12596	print	0888-6008	0888-6008
12597	print	0002-7685	0002-7685
12598	print	1043-321X	1043-321X
12599	electronic	1524-4741	1075-122X
12599	print	1075-122X	1075-122X
12600	electronic	1433-0415	0947-8965
12600	print	0947-8965	0947-8965
12601	print	1505-6732	1505-6732
12602	electronic	1520-6300	1042-0533
12602	print	1042-0533	1042-0533
12603	print	0035-1121	0035-1121
12604	electronic	1537-5323	0003-0147
12604	print	0003-0147	0003-0147
12605	electronic	1423-0240	0378-584X
12605	print	0378-584X	0378-584X
12607	print	1220-5311	1220-5311
12609	print	0035-6697	0035-6697
12611	electronic	1532-2084	1368-7646
12611	print	1368-7646	1368-7646
12612	print	0220-5610	0220-5610
12613	print	0012-7183	0012-7183
12615	print	1476-5918	1476-5918
12616	electronic	2340-7948	0211-9536
12616	print	0211-9536	0211-9536
12620	print	0140-7686	0140-7686
12621	print	1362-1807	1362-1807
12622	print	0002-4678	0002-4678
12623	print	1462-8783	1462-8783
12624	print	0949-3441	0949-3441
12625	print	1219-9087	1219-9087
12626	electronic	1805-4455	1210-7832
12626	print	1210-7832	1210-7832
12628	print	1368-8375	1368-8375
12629	print	0373-2444	0373-2444
12630	print	0869-6071	0869-6071
12633	print	1748-8842	1748-8842
12634	electronic	1573-3823	1383-7427
12634	print	1383-7427	1383-7427
12635	print	0012-835X	0012-835X
12636	print	1347-2879	1347-2879
12637	electronic	2371-0292	1188-3774
12637	print	1188-3774	1188-3774
12638	electronic	1309-3886	1301-0883
12638	print	1301-0883	1301-0883
12641	print	1137-2273	1137-2273
12642	print	0210-573X	0210-573X
12643	print	0002-4821	0002-4821
12644	print	0390-6663	0390-6663
12645	electronic	1532-5520	0009-9201
12645	print	0009-9201	0009-9201
12646	print	1219-4956	1219-4956
12647	electronic	1545-5017	1545-5009
12647	print	1545-5009	1545-5009
12648	print	0095-5108	0095-5108
12649	print	1471-8359	1471-8359
12650	print	0090-3159	0090-3159
12652	electronic	1467-9493	0129-7619
12652	print	0129-7619	0129-7619
12653	print	1475-2891	1475-2891
12654	print	0970-8685	0970-8685
12655	electronic	1095-9904	0090-3752
12655	print	0090-3752	0090-3752
12656	print	0140-4067	0140-4067
12657	print	0304-4246	0304-4246
12658	print	1005-9113	1005-9113
12659	electronic	1123-8178	1123-8178
12659	print	0957-5847	0957-5847
12660	print	0430-2222	0430-2222
12661	electronic	1473-656X	1040-872X
12661	print	1040-872X	1040-872X
12662	print	0377-8711	0377-8711
12663	print	0378-3782	0378-3782
12664	print	1354-4195	1354-4195
12665	print	0039-3347	0039-3347
12666	print	0029-5507	0029-5507
12667	print	1006-6748	1006-6748
12668	print	0029-5574	0029-5574
12669	print	0027-9048	0027-9048
12670	print	0930-3847	0930-3847
12671	electronic	1469-9737	1367-4676
12671	print	1367-4676	1367-4676
12672	electronic	1573-6636	1522-3434
12672	print	1522-3434	1522-3434
12674	print	0892-2055	0892-2055
12675	electronic	1098-108X	0276-3478
12675	print	0276-3478	0276-3478
12676	electronic	1465-3478	0963-7486
12676	print	0963-7486	0963-7486
12677	print	0029-5639	0029-5639
12679	print	0278-0097	0278-0097
12680	print	0014-7699	0014-7699
12681	print	0301-2115	0301-2115
12683	print	0065-8995	0065-8995
12684	electronic	1532-3366	1532-3366
12684	print	1361-259X	1532-3366
12685	print	0098-8588	0098-8588
12686	print	0264-2506	0264-2506
12687	print	0002-9319	0002-9319
12689	print	0306-4573	0306-4573
12690	print	1368-1613	1368-1613
12691	electronic	1535-0266	0272-930X
12691	print	0272-930X	0272-930X
12692	print	1432-8534	1432-8534
12693	electronic	1532-7876	0899-5605
12693	print	0899-5605	0899-5605
12694	electronic	1464-5289	0950-0693
12694	print	0950-0693	0950-0693
12695	print	0020-8566	0020-8566
12697	electronic	1476-5497	0307-0565
12697	print	0307-0565	0307-0565
12699	print	0041-0608	0041-0608
12700	electronic	1949-1042	1949-1042
12700	print	1949-1034	1949-1042
12701	electronic	1508-5791	0029-5922
12701	print	0029-5922	0029-5922
12702	print	1563-2873	1563-2873
12703	print	1527-6538	1527-6538
12704	print	0888-2401	0888-2401
12705	print	0015-0282	0015-0282
12706	print	1073-4651	1073-4651
12707	electronic	1469-5065	0965-5395
12707	print	0965-5395	0965-5395
12708	electronic	1421-9964	1015-3837
12708	print	1015-3837	1015-3837
12709	print	0730-9295	0730-9295
12710	electronic	1573-6644	0146-7239
12710	print	0146-7239	0146-7239
12711	electronic	1532-7906	0027-3171
12711	print	0027-3171	0027-3171
12712	print	0147-3964	0147-3964
12715	electronic	1365-277X	0952-3871
12715	print	0952-3871	0952-3871
12716	electronic	1541-6100	0022-3166
12716	print	0022-3166	0022-3166
12717	print	1499-4046	1499-4046
12718	electronic	1364-6907	1359-0847
12718	print	1359-0847	1359-0847
12719	print	0955-2863	0955-2863
12720	print	0301-4800	0301-4800
12721	print	0148-6071	0148-6071
12722	electronic	1536-4801	0277-2116
12722	print	0277-2116	0277-2116
12723	print	0019-8145	0019-8145
12724	print	0019-8447	0019-8447
12725	print	1547-0091	1547-0091
12726	print	1547-0083	1547-0083
12727	print	8755-1985	8755-1985
12728	electronic	1438-8804	0016-5751
12728	print	0016-5751	0016-5751
12729	print	0133-2546	0133-2546
12730	print	1576-3560	1576-3560
12731	print	0130-9013	0130-9013
12732	print	0300-9041	0300-9041
12733	print	0146-7875	0146-7875
12734	electronic	1837-6290	0313-7155
12734	print	0313-7155	0313-7155
12735	print	0028-2235	0028-2235
12736	electronic	1744-411X	1380-3395
12736	print	1380-3395	1380-3395
12737	print	1382-5585	1382-5585
12738	print	0929-7049	0929-7049
12739	electronic	1534-8687	1520-3247
