scopus_id	homepage
12320	http://josaa.osa.org/journal.cfm
12321	http://www.blackwellpublishing.com/journal.asp?ref=1350-1917
12323	http://csdl2.computer.org/persagen/DLPublication.jsp?pubtype=p&acronym=ideas
12324	http://www.crlpublishing.co.uk/journal.asp?j=csse&s=Aims%20and%20Scope
12325	http://www.sciencedirect.com/science/journal/09258388
12326	http://www.jcse.org/
12327	http://www.asminternational.org/
12328	http://www.sciencedirect.com/science/journal/0011393X
12329	http://www.sciencedirect.com/science/journal/1006706X
12330	http://www.sciencedirect.com/science/journal/10050302
12331	http://benthamscience.com/journals/current-topics-in-medicinal-chemistry/
12332	http://www.sciencedirect.com/science/journal/09257535
12333	http://www.asminternational.org/
12335	http://www.maik.ru/cgi-bin/list.pl?page=teplofiz
12336	http://www.interscience.wiley.com/jpages/0029-5981/
12337	http://ejournals.worldscientific.com.sg/ijbc/ijbc.shtml
12340	http://www.springeronline.com/journal/11232/about
12341	http://josab.osa.org/journal/josab/about.cfm
12342	http://www.informaworld.com/openurl?genre=journal&issn=00207179
12344	http://www.sjweh.fi/index.php
12345	http://www.ijee.dit.ie/
12346	http://www.sciencedirect.com/science/journal/00303992
12347	http://www.sciencedirect.com/science/journal/00406090
12348	http://www.sciencedirect.com/science/journal/01438166
12349	http://www.sciencedirect.com/science/journal/00207225
12350	http://www.osa-opn.org
12351	http://www.springer.com/journal/11449/about
12352	http://www.sciencedirect.com/science/journal/00304018
12353	http://www.aidslaw.ca/EN/publications/HIV_AIDS_Policy_Law_Review/index.htm
12354	http://www.sciencedirect.com/science/journal/14702045
12360	http://www.informaworld.com/openurl?genre=journal&issn=03081079
12364	http://jims.ms.tku.edu.tw/
12365	http://www.utpjournals.com/cjls/cjls.html
12366	http://www.asprs.org/publications/pers/index.html
12367	http://www.blackwellpublishing.com/journal.asp?ref=0031-868X
12369	http://www.sciencedirect.com/science/journal/10020721
12370	http://www.sciencedirect.com/science/journal/00220000
12372	http://www.sciencedirect.com/science/journal/00945765
12373	http://www.iacis.org/jcis/index.htm
12375	http://www.sciencedirect.com/science/journal/02731177
12376	http://www.univelt.com/Aasweb.html#ADVANCES_IN_ASTRONAUTICAL_SCIENCES
12377	http://www.jstage.jst.go.jp/browse/jilm/
12378	http://www.ttp.net/1013-9826.html
12382	http://safeassociation.com/publication.htm
12383	http://www.sciencedirect.com/science/journal/0734743X
12385	http://www.sciencedirect.com/science/journal/01698141
